Año;% Usuarios con acceso a Internet;Suscripcion Banda Ancha Fija / 100 personas
1990;0.0;
1992;0.00299;
1993;0.0295;
1994;0.0437;
1995;0.0863;
1996;0.142;
1997;0.28;
1998;0.831;
1999;3.28;
2000;7.04;
2001;9.78;0.249835
2002;10.9;0.389173
2003;11.9;0.67366
2004;16.0;1.3986
2005;17.7;2.36307
2006;20.9;3.99704
2007;25.9;6.49728
2008;28.1;7.70515
2009;34.0;8.59391
2010;45.0;9.75627
2011;51.0;10.956
2012;55.8;12.2115
2013;59.9;14.6798
2014;64.7;15.153
2015;68.0;15.7689
2016;71.0;16.5185
2017;74.3;17.7082
2018;77.7;18.9759
2019;79.9;19.5519
2020;85.5;21.1798
2021;87.2;23.15
2022;88.4;24.6832
2023;89.2;25.3581
