Año;Provincia;ADSL;Cablemodem;Fibra Optica;Wireless;Otros;Pais
2014;Buenos Aires;6275077;4207132;485970;71325;130890;Argentina
2014;Capital Federal;1799146;3322198;70537;7706;58891;Argentina
2014;Catamarca;98078;774;65;0;177;Argentina
2014;Chaco;214637;40621;120;1;237;Argentina
2014;Chubut;199894;2553;3505;45845;26622;Argentina
2014;Corrientes;213159;35669;133;5242;250;Argentina
2014;Córdoba;1360035;941284;1561;15240;1605;Argentina
2014;Entre Ríos;437981;88552;203;20063;661;Argentina
2014;Formosa;83934;18908;1;0;323;Argentina
2014;Jujuy;121370;16315;90;114;42;Argentina
2014;La Pampa;63877;132126;2078;28830;2715;Argentina
2014;La Rioja;63743;0;59;1;138;Argentina
2014;Mendoza;599866;51166;10006;144;9008;Argentina
2014;Misiones;228898;71771;28;453;45;Argentina
2014;Neuquén;197736;120679;4008;45857;12151;Argentina
2014;Río Negro;261377;99393;3541;14585;6167;Argentina
2014;Salta;296826;70725;181;130;2303;Argentina
2014;San Juan;193247;1787;2915;4348;4545;Argentina
2014;San Luis;45334;3204;1418;92;1757;Argentina
2014;Santa Cruz;73298;1488;1535;16878;12557;Argentina
2014;Santa Fe;1307607;719430;13756;24814;3647;Argentina
2014;Santiago Del Estero;132317;15960;76;3510;146;Argentina
2014;Tierra Del Fuego;87024;12978;2601;4;11422;Argentina
2014;Tucumán;530289;374;475;52;401;Argentina
2015;Buenos Aires;6336715;4645385;466696;78408;106578;Argentina
2015;Capital Federal;1818354;3451297;89912;8668;53068;Argentina
2015;Catamarca;102401;967;61;4;143;Argentina
2015;Chaco;223819;112235;715;183;179;Argentina
2015;Chubut;177526;3082;3654;52524;19874;Argentina
2015;Corrientes;221360;107707;639;5334;201;Argentina
2015;Córdoba;1397235;1033277;2780;20869;1610;Argentina
2015;Entre Ríos;453633;202534;471;24662;833;Argentina
2015;Formosa;85426;20693;9;3329;134;Argentina
2015;Jujuy;129220;24358;88;0;141;Argentina
2015;La Pampa;51409;164987;15339;24754;2097;Argentina
2015;La Rioja;66356;0;64;8;117;Argentina
2015;Mendoza;612326;52120;10258;147;7762;Argentina
2015;Misiones;237614;120287;161;20;58;Argentina
2015;Neuquén;193378;141857;4161;50854;11409;Argentina
2015;Río Negro;266669;105836;3655;13752;5484;Argentina
2015;Salta;310302;84212;188;516;2353;Argentina
2015;San Juan;194451;1804;3065;4815;3731;Argentina
2015;San Luis;45710;4100;1413;124;1543;Argentina
2015;Santa Cruz;62712;10848;1580;20176;9762;Argentina
2015;Santa Fe;1338811;826306;12776;17581;5761;Argentina
2015;Santiago Del Estero;135154;17460;76;4347;125;Argentina
2015;Tierra Del Fuego;90199;28237;2652;4;9633;Argentina
2015;Tucumán;564914;3382;464;352;250;Argentina
2016;Buenos Aires;6300766;5277254;456511;82532;100036;Argentina
2016;Capital Federal;1787630;3544392;147958;9771;47292;Argentina
2016;Catamarca;105782;986;57;4;120;Argentina
2016;Chaco;223690;128083;912;158;136;Argentina
2016;Chubut;175925;3591;3664;53044;19149;Argentina
2016;Corrientes;221880;120646;845;5416;141;Argentina
2016;Córdoba;1385624;1104785;8291;22627;2659;Argentina
2016;Entre Ríos;447857;239707;747;25748;521;Argentina
2016;Formosa;88153;23044;36;3069;43;Argentina
2016;Jujuy;135327;31092;88;0;134;Argentina
2016;La Pampa;51013;179732;19208;24923;2133;Argentina
2016;La Rioja;66497;0;62;8;106;Argentina
2016;Mendoza;613173;52120;10307;118;7265;Argentina
2016;Misiones;236870;146899;326;20;45;Argentina
2016;Neuquén;206938;169620;4390;49280;10986;Argentina
2016;Río Negro;268025;112382;3772;13208;5185;Argentina
2016;Salta;318666;100230;358;598;2232;Argentina
2016;San Juan;194680;1804;3082;4704;3626;Argentina
2016;San Luis;45728;4338;1416;106;1500;Argentina
2016;Santa Cruz;62284;10889;2664;19885;9439;Argentina
2016;Santa Fe;1335928;872707;12233;19238;5207;Argentina
2016;Santiago Del Estero;126861;15600;76;2736;97;Argentina
2016;Tierra Del Fuego;90544;23722;2660;4;9397;Argentina
2016;Tucumán;583973;13465;464;199;184;Argentina
2017;Buenos Aires;5466924;6290047;494072;137895;118925;Argentina
2017;Capital Federal;2198675;3753574;146645;11482;41544;Argentina
2017;Catamarca;106377;5177;51;4;4449;Argentina
2017;Chaco;218802;146887;1555;520;2271;Argentina
2017;Chubut;200725;22808;4236;53961;23125;Argentina
2017;Corrientes;223288;133901;2335;5376;124;Argentina
2017;Córdoba;1371711;1241036;32679;31408;28626;Argentina
2017;Entre Ríos;432356;276033;4164;29408;291;Argentina
2017;Formosa;90988;26414;480;5851;89;Argentina
2017;Jujuy;135251;37157;84;51;111;Argentina
2017;La Pampa;47694;195679;23813;34611;4899;Argentina
2017;La Rioja;65974;69968;58;509;112;Argentina
2017;Mendoza;613589;75962;10949;6289;7339;Argentina
2017;Misiones;226858;174417;409;20;80;Argentina
2017;Neuquén;198305;204979;4318;47190;10735;Argentina
2017;Río Negro;272104;118401;4271;13739;11652;Argentina
2017;Salta;321508;154855;483;632;4026;Argentina
2017;San Juan;205918;6421;3172;5445;3871;Argentina
2017;San Luis;45375;10935;1390;95;5442;Argentina
2017;Santa Cruz;68647;12599;4763;18658;11349;Argentina
2017;Santa Fe;1321904;1038682;23384;25768;55226;Argentina
2017;Santiago Del Estero;112999;102303;76;3758;173;Argentina
2017;Tierra Del Fuego;86231;27728;2482;4;8989;Argentina
2017;Tucumán;607099;22100;443;170;714;Argentina
2018;Buenos Aires;5643696;7480662;730038;263430;105202;Argentina
2018;Capital Federal;1355032;3975141;139881;14922;32290;Argentina
2018;Catamarca;109209;17716;61;3;8854;Argentina
2018;Chaco;216349;166821;4875;8198;4518;Argentina
2018;Chubut;211412;85312;4624;56400;23233;Argentina
2018;Corrientes;225764;158658;2097;5785;127;Argentina
2018;Córdoba;1360957;1352647;60470;70656;45466;Argentina
2018;Entre Ríos;416295;326039;13450;53654;14596;Argentina
2018;Formosa;92495;29875;1739;42614;228;Argentina
2018;Jujuy;134038;44652;231;1949;43737;Argentina
2018;La Pampa;54470;214887;27928;32350;4910;Argentina
2018;La Rioja;66577;139936;51;1011;141;Argentina
2018;Mendoza;605426;154154;17579;30970;7103;Argentina
2018;Misiones;225366;199269;1817;1213;6377;Argentina
2018;Neuquén;180696;217690;6111;49755;10582;Argentina
2018;Río Negro;274403;132273;5054;21743;20210;Argentina
2018;Salta;309217;216531;2112;925;6026;Argentina
2018;San Juan;213845;21812;3284;10952;4355;Argentina
2018;San Luis;44412;30828;1482;105988;30906;Argentina
2018;Santa Cruz;66495;18137;3351;26084;13510;Argentina
2018;Santa Fe;1354576;1240418;48164;62479;74431;Argentina
2018;Santiago Del Estero;104006;230561;92;7405;324;Argentina
2018;Tierra Del Fuego;77898;78417;4187;3;7640;Argentina
2018;Tucumán;639350;38836;446;1558;994;Argentina
2019;Buenos Aires;4586425;8437258;1813913;312790;98466;Argentina
2019;Capital Federal;1135409;4266288;128797;15749;68293;Argentina
2019;Catamarca;99942;18847;9548;651;8980;Argentina
2019;Chaco;203251;193761;23048;18808;5897;Argentina
2019;Chubut;158958;103470;7081;59302;23630;Argentina
2019;Corrientes;215546;192950;7206;8888;16039;Argentina
2019;Córdoba;1242692;1561482;126324;133489;44997;Argentina
2019;Entre Ríos;386008;376845;51250;70691;60609;Argentina
2019;Formosa;87830;33607;5558;56876;555;Argentina
2019;Jujuy;132329;116572;1574;3078;98758;Argentina
2019;La Pampa;73229;219269;17667;42615;7812;Argentina
2019;La Rioja;59509;139936;34;1005;152;Argentina
2019;Mendoza;542515;198255;44381;49758;5363;Argentina
2019;Misiones;217880;259034;2684;1707;43989;Argentina
2019;Neuquén;157340;236109;24206;53060;8481;Argentina
2019;Río Negro;253443;146009;27428;42464;61726;Argentina
2019;Salta;272324;270667;23970;6965;28942;Argentina
2019;San Juan;196370;27026;8140;20284;18722;Argentina
2019;San Luis;43844;36670;1081;227891;135135;Argentina
2019;Santa Cruz;45251;47827;2766;26372;10579;Argentina
2019;Santa Fe;1296926;1454909;80011;96442;82377;Argentina
2019;Santiago Del Estero;98968;268767;661;11175;73756;Argentina
2019;Tierra Del Fuego;72630;102556;2925;0;4769;Argentina
2019;Tucumán;610239;46860;39924;2771;1314;Argentina
2020;Buenos Aires;2624090;9280431;2997838;364785;188991;Argentina
2020;Capital Federal;696825;4475869;157687;16599;116540;Argentina
2020;Catamarca;102651;15592;61647;1105;8916;Argentina
2020;Chaco;183249;230186;73586;27394;7039;Argentina
2020;Chubut;182988;144708;8585;81142;48572;Argentina
2020;Corrientes;203334;228943;11422;17503;20684;Argentina
2020;Córdoba;1112782;1691209;382167;187334;44248;Argentina
2020;Entre Ríos;353334;415477;56806;79364;49854;Argentina
2020;Formosa;85927;39032;8114;59597;1111;Argentina
2020;Jujuy;130232;188373;34886;3923;41146;Argentina
2020;La Pampa;35128;223967;58162;46696;5712;Argentina
2020;La Rioja;64820;139936;3;1001;129;Argentina
2020;Mendoza;367609;246228;126572;64243;3225;Argentina
2020;Misiones;201907;301793;12960;11583;35996;Argentina
2020;Neuquén;120251;275001;46843;64942;3232;Argentina
2020;Río Negro;196033;160152;48970;49734;73474;Argentina
2020;Salta;234803;329278;103363;20870;28065;Argentina
2020;San Juan;160348;30950;23125;38592;30916;Argentina
2020;San Luis;33520;37813;44;244083;145044;Argentina
2020;Santa Cruz;50882;67565;4121;24999;10079;Argentina
2020;Santa Fe;1184662;1585905;190234;136799;75261;Argentina
2020;Santiago Del Estero;103843;283740;1680;15171;15929;Argentina
2020;Tierra Del Fuego;51415;104587;6;0;1244;Argentina
2020;Tucumán;592195;43229;227799;6354;2611;Argentina
2021;Buenos Aires;2244988;10257877;3737407;459467;253380;Argentina
2021;Capital Federal;563056;4717425;184269;22877;117925;Argentina
2021;Catamarca;81419;39402;88450;4851;8934;Argentina
