Año;Provincia;Promedio Velocidad;Promedio Accesos;Pais
2017;Catamarca;58.166666666666664;2463.1666666666665;Argentina
2017;Chaco;119.8695652173913;4194.391304347826;Argentina
2017;Chubut;79.3125;5839.5;Argentina
2017;Corrientes;130.0;4465.285714285715;Argentina
2017;Córdoba;115.96;28024.44;Argentina
2017;Entre Ríos;117.16666666666667;8062.458333333333;Argentina
2017;Formosa;137.05263157894737;1687.1052631578948;Argentina
2017;Jujuy;56.75;3629.1666666666665;Argentina
2017;La Pampa;126.0;4054.3;Argentina
2017;La Rioja;92.54545454545455;4745.0;Argentina
2017;Mendoza;137.72222222222223;10008.555555555555;Argentina
2017;Misiones;130.0;4947.380952380952;Argentina
2017;Neuquén;126.0;5792.15;Argentina
2017;Provincia de Buenos Aires;97.74285714285715;68179.57142857143;Argentina
2017;Río Negro;121.95238095238095;5222.761904761905;Argentina
2017;Salta;93.17647058823529;7861.64705882353;Argentina
2017;San Juan;31.1;5862.2;Argentina
2017;San Luis;49.0;1241.6666666666667;Argentina
2017;Santa Cruz;45.69230769230769;2306.0;Argentina
2017;Santa Fe;105.75862068965517;23171.172413793105;Argentina
2017;Santiago Del Estero;61.46153846153846;5295.538461538462;Argentina
2017;Tierra Del Fuego;38.75;3956.5;Argentina
2017;Tucumán;56.5;13520.666666666666;Argentina
2018;Catamarca;81.0;2562.7735849056603;Argentina
2018;Chaco;122.8735632183908;4604.666666666667;Argentina
2018;Chubut;94.49295774647888;5365.492957746479;Argentina
2018;Corrientes;131.23170731707316;4785.780487804878;Argentina
2018;Córdoba;111.66363636363636;26275.1;Argentina
2018;Entre Ríos;114.74489795918367;8402.938775510203;Argentina
2018;Formosa;132.97435897435898;2140.2948717948716;Argentina
2018;Jujuy;104.46969696969697;3402.939393939394;Argentina
2018;La Pampa;109.34848484848484;2529.212121212121;Argentina
2018;La Rioja;131.56363636363636;3776.6;Argentina
2018;Mendoza;124.91954022988506;9370.252873563219;Argentina
2018;Misiones;130.9625;5425.05;Argentina
2018;Neuquén;126.0;5795.9625;Argentina
2018;Provincia de Buenos Aires;97.72241992882562;70244.02846975089;Argentina
2018;Río Negro;122.72093023255815;5276.779069767442;Argentina
2018;Salta;126.61111111111111;7439.291666666667;Argentina
2018;San Juan;62.96;5084.4;Argentina
2018;San Luis;62.056603773584904;4030.2264150943397;Argentina
2018;Santa Cruz;65.57627118644068;2151.593220338983;Argentina
2018;Santa Fe;105.75862068965517;23966.33620689655;Argentina
2018;Santiago Del Estero;119.41791044776119;5129.940298507463;Argentina
2018;Tierra Del Fuego;67.6923076923077;3287.3076923076924;Argentina
2018;Tucumán;112.07462686567165;10165.835820895523;Argentina
2019;Catamarca;111.96774193548387;2243.0967741935483;Argentina
2019;Chaco;128.3125;4679.583333333333;Argentina
2019;Chubut;125.8780487804878;4355.09756097561;Argentina
2019;Corrientes;138.5487804878049;5337.963414634146;Argentina
2019;Córdoba;143.00632911392404;19657.92405063291;Argentina
2019;Entre Ríos;127.82474226804123;9737.37113402062;Argentina
2019;Formosa;134.5487804878049;2253.987804878049;Argentina
2019;Jujuy;139.90588235294118;4069.7176470588233;Argentina
2019;La Pampa;110.6;2868.28;Argentina
2019;La Rioja;167.40816326530611;4094.612244897959;Argentina
2019;Mendoza;123.12;8483.56;Argentina
2019;Misiones;136.45238095238096;6254.535714285715;Argentina
2019;Neuquén;149.06521739130434;5206.45652173913;Argentina
2019;Provincia de Buenos Aires;147.38920454545453;59287.775568181816;Argentina
2019;Río Negro;138.90625;5528.020833333333;Argentina
2019;Salta;134.49397590361446;7264.361445783133;Argentina
2019;San Juan;144.64285714285714;3889.9142857142856;Argentina
2019;San Luis;107.58208955223881;6671.417910447762;Argentina
2019;Santa Cruz;112.35616438356165;1821.3150684931506;Argentina
2019;Santa Fe;128.8768115942029;21728.485507246376;Argentina
2019;Santiago Del Estero;136.58666666666667;6057.48;Argentina
2019;Tierra Del Fuego;108.70666666666666;2403.133333333333;Argentina
2019;Tucumán;127.21686746987952;8453.795180722891;Argentina
2020;Catamarca;225.84615384615384;2424.8205128205127;Argentina
2020;Chaco;194.74545454545455;4740.027272727273;Argentina
2020;Chubut;121.24444444444444;5179.7444444444445;Argentina
2020;Corrientes;153.95180722891567;5803.048192771084;Argentina
2020;Córdoba;184.4578947368421;17987.184210526317;Argentina
2020;Entre Ríos;318.27433628318585;8436.115044247788;Argentina
2020;Formosa;143.97590361445782;2332.8072289156626;Argentina
2020;Jujuy;234.0612244897959;4091.673469387755;Argentina
2020;La Pampa;96.97142857142858;3519.847619047619;Argentina
2020;La Rioja;170.56140350877192;3612.1754385964914;Argentina
2020;Mendoza;139.02631578947367;7029.69298245614;Argentina
2020;Misiones;189.54545454545453;5130.790909090909;Argentina
2020;Neuquén;133.22105263157894;5376.378947368421;Argentina
2020;Provincia de Buenos Aires;237.14799154334037;44251.39746300211;Argentina
2020;Río Negro;132.9;5290.9;Argentina
2020;Salta;149.0;7790.141304347826;Argentina
2020;San Juan;129.53012048192772;3464.590361445783;Argentina
2020;San Luis;176.46052631578948;6057.973684210527;Argentina
2020;Santa Cruz;112.35922330097087;1525.8155339805826;Argentina
2020;Santa Fe;250.57051282051282;20283.96794871795;Argentina
2020;Santiago Del Estero;249.31764705882352;4948.964705882353;Argentina
2020;Tierra Del Fuego;148.75294117647059;1836.0470588235294;Argentina
2020;Tucumán;156.29906542056074;8154.859813084112;Argentina
2021;Catamarca;312.76404494382024;2506.247191011236;Argentina
2021;Chaco;341.4864864864865;5082.117117117117;Argentina
2021;Chubut;118.2;5879.51;Argentina
2021;Corrientes;155.01020408163265;5365.8877551020405;Argentina
2021;Córdoba;231.67924528301887;17808.10849056604;Argentina
2021;Entre Ríos;328.6377952755906;8149.7322834645665;Argentina
2021;Formosa;136.7078651685393;2344.887640449438;Argentina
2021;Jujuy;376.1509433962264;4220.537735849057;Argentina
2021;La Pampa;114.4375;3591.660714285714;Argentina
2021;La Rioja;155.55844155844156;3889.844155844156;Argentina
2021;Mendoza;206.85416666666666;6750.833333333333;Argentina
2021;Misiones;198.8206896551724;4380.848275862069;Argentina
2021;Neuquén;133.92523364485982;5222.056074766355;Argentina
2021;Provincia de Buenos Aires;289.5142314990512;42805.82732447818;Argentina
2021;Río Negro;136.0625;5210.625;Argentina
2021;Salta;134.75;8417.945652173914;Argentina
2021;San Juan;123.73404255319149;3368.521276595745;Argentina
2021;San Luis;266.20454545454544;5439.602272727273;Argentina
2021;Santa Cruz;112.16964285714286;1718.830357142857;Argentina
2021;Santa Fe;413.9431818181818;19174.727272727272;Argentina
2021;Santiago Del Estero;451.83505154639175;4711.855670103093;Argentina
2021;Tierra Del Fuego;166.5096153846154;1718.2211538461538;Argentina
2021;Tucumán;200.827868852459;7672.737704918033;Argentina
2022;Catamarca;177.1860465116279;3200.3255813953488;Argentina
2022;Chaco;200.76724137931035;5059.387931034483;Argentina
2022;Chubut;121.31666666666666;5615.55;Argentina
2022;Corrientes;167.27358490566039;5669.075471698113;Argentina
2022;Córdoba;201.44;18497.751111111113;Argentina
2022;Entre Ríos;154.86324786324786;9442.76923076923;Argentina
2022;Formosa;170.25;2572.78125;Argentina
2022;Jujuy;191.08490566037736;4415.962264150943;Argentina
2022;La Pampa;132.64406779661016;3878.1186440677966;Argentina
2022;La Rioja;183.59550561797752;3869.4044943820227;Argentina
2022;Mendoza;154.53378378378378;7766.540540540541;Argentina
2022;Misiones;151.5076923076923;5685.738461538462;Argentina
2022;Neuquén;159.13223140495867;5256.801652892562;Argentina
2022;Provincia de Buenos Aires;169.80380952380952;47757.386666666665;Argentina
2022;Río Negro;187.84313725490196;4245.633986928105;Argentina
2022;Salta;182.48214285714286;7226.892857142857;Argentina
2022;San Juan;128.98095238095237;3800.733333333333;Argentina
2022;San Luis;134.25;5550.96875;Argentina
2022;Santa Cruz;110.67241379310344;1971.5344827586207;Argentina
2022;Santa Fe;246.2127659574468;18912.85106382979;Argentina
2022;Santiago Del Estero;175.48039215686273;4689.813725490196;Argentina
