REGION;EDAD_SEL;TCS_ACT_USARCOMPUTADORA;TCS_ACT_USARCELULAR;TCS_ACT_TRABAJOOCUPACION;TSS_ACT_TRABAJOOCUPACION;EDAD_SEL_percentil;TCS_ACT_USARCOMPUTADORA_percentil;TCS_ACT_USARCELULAR_percentil;TCS_ACT_TRABAJOOCUPACION_percentil;TSS_ACT_TRABAJOOCUPACION_percentil;REGION_NAME
1;42;0;0;450;450.0;0.5;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;35;0;40;410;410.0;0.5;0.05;0.75;0.75;0.9;Gran Buenos Aires
1;26;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;43;0;10;370;370.0;0.5;0.05;0.75;0.75;0.75;Gran Buenos Aires
1;17;40;80;0;0.0;0.05;0.95;0.9;0.05;0.05;Gran Buenos Aires
1;25;0;30;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;26;0;10;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;42;0;0;0;0.0;0.5;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;25;0;20;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;80;130;0;0;0.0;0.99;0.99;0.05;0.05;0.05;Gran Buenos Aires
1;42;0;40;120;120.0;0.5;0.05;0.75;0.75;0.75;Gran Buenos Aires
1;20;0;60;0;0.0;0.1;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;28;120;0;0;0.0;0.25;0.99;0.05;0.05;0.05;Gran Buenos Aires
1;41;0;0;670;665.0;0.5;0.05;0.05;0.95;0.99;Gran Buenos Aires
1;27;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;33;0;0;470;470.0;0.5;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;50;0;30;250;250.0;0.75;0.05;0.75;0.75;0.75;Gran Buenos Aires
1;30;0;30;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;52;0;30;630;630.0;0.75;0.05;0.75;0.95;0.95;Gran Buenos Aires
1;77;0;0;0;0.0;0.95;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;71;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;33;0;60;680;680.0;0.5;0.05;0.75;0.99;0.99;Gran Buenos Aires
1;22;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;36;0;0;790;775.0;0.5;0.05;0.05;0.99;0.99;Gran Buenos Aires
1;39;0;60;540;540.0;0.5;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;25;0;0;350;350.0;0.25;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;55;0;10;490;455.0;0.75;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;26;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;64;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;61;0;0;490;490.0;0.9;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;27;0;20;410;410.0;0.25;0.05;0.75;0.75;0.9;Gran Buenos Aires
1;32;0;50;0;0.0;0.5;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;34;0;0;750;750.0;0.5;0.05;0.05;0.99;0.99;Gran Buenos Aires
1;20;0;0;350;350.0;0.1;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;37;0;0;430;430.0;0.5;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;60;0;0;510;510.0;0.75;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;50;0;0;390;390.0;0.75;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;46;60;170;0;0.0;0.75;0.95;0.95;0.05;0.05;Gran Buenos Aires
1;67;0;0;520;520.0;0.9;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;49;0;170;480;480.0;0.75;0.05;0.95;0.9;0.9;Gran Buenos Aires
1;70;210;0;0;0.0;0.9;0.99;0.05;0.05;0.05;Gran Buenos Aires
1;39;140;0;0;0.0;0.5;0.99;0.05;0.05;0.05;Gran Buenos Aires
1;31;0;0;590;590.0;0.5;0.05;0.05;0.95;0.95;Gran Buenos Aires
1;58;0;0;720;720.0;0.75;0.05;0.05;0.99;0.99;Gran Buenos Aires
1;60;0;0;0;0.0;0.75;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;37;0;10;510;510.0;0.5;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;32;0;0;510;510.0;0.5;0.05;0.05;0.9;0.9;Gran Buenos Aires
1;28;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;72;0;0;0;0.0;0.95;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;46;0;0;600;590.0;0.75;0.05;0.05;0.95;0.95;Gran Buenos Aires
1;24;60;60;0;0.0;0.25;0.95;0.75;0.05;0.05;Gran Buenos Aires
1;63;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;26;0;0;840;785.0;0.25;0.05;0.05;0.99;0.99;Gran Buenos Aires
1;48;0;30;0;0.0;0.75;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;69;0;60;0;0.0;0.9;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;84;0;0;0;0.0;0.99;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;62;0;0;410;410.0;0.9;0.05;0.05;0.75;0.9;Gran Buenos Aires
1;69;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;25;0;0;280;280.0;0.25;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;52;0;110;0;0.0;0.75;0.05;0.9;0.05;0.05;Gran Buenos Aires
1;52;0;0;650;645.0;0.75;0.05;0.05;0.95;0.99;Gran Buenos Aires
1;39;0;0;420;420.0;0.5;0.05;0.05;0.75;0.9;Gran Buenos Aires
1;57;0;10;490;485.0;0.75;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;29;0;10;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;33;0;0;300;285.0;0.5;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;28;160;0;200;200.0;0.25;0.99;0.05;0.75;0.75;Gran Buenos Aires
1;24;0;10;0;0.0;0.25;0.05;0.75;0.05;0.05;Gran Buenos Aires
1;23;0;0;0;0.0;0.25;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;22;40;0;0;0.0;0.25;0.95;0.05;0.05;0.05;Gran Buenos Aires
1;40;0;0;420;420.0;0.5;0.05;0.05;0.75;0.9;Gran Buenos Aires
1;70;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;74;0;0;370;370.0;0.95;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;29;0;150;0;0.0;0.25;0.05;0.9;0.05;0.05;Gran Buenos Aires
1;70;0;0;600;600.0;0.9;0.05;0.05;0.95;0.95;Gran Buenos Aires
1;38;0;100;0;0.0;0.5;0.05;0.9;0.05;0.05;Gran Buenos Aires
1;54;120;10;0;0.0;0.75;0.99;0.75;0.05;0.05;Gran Buenos Aires
1;64;0;0;340;340.0;0.9;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;46;0;0;300;300.0;0.75;0.05;0.05;0.75;0.75;Gran Buenos Aires
1;24;0;60;530;530.0;0.25;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;36;0;0;0;0.0;0.5;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;36;0;0;0;0.0;0.5;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;61;0;0;0;0.0;0.9;0.05;0.05;0.05;0.05;Gran Buenos Aires
1;47;0;0;580;580.0;0.75;0.05;0.05;0.95;0.95;Gran Buenos Aires
1;53;0;20;480;480.0;0.75;0.05;0.75;0.9;0.9;Gran Buenos Aires
1;63;0;0;630;630.0;0.9;0.05;0.05;0.95;0.95;Gran Buenos Aires
1;64;0;20;650;650.0;0.9;0.05;0.75;0.95;0.99;Gran Buenos Aires
1;44;0;0;470;430.0;0.75;0.05;0.05;0.9;0.9;Gran Buenos Aires
